Current Floor, Collection/Drop-off,Time / s,Moving up Stops,Moving Down Stops, Lift Trajectory, Stop Order, Employee IDs in Lift, Journey Completed by, No. of Employees in Lift
6,False,416,[7 8 9 10],[4 3 2],Up,[7 8 9 10][4 3 2],[20 25 27 28 36 38],[1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 21 22 23 24 26 30 33],6
7,True,426,[8 9 10],[4 3 2],Up,[8 9 10][4 3 2],[20 25 28 32 36 38],[1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 21 22 23 24 26 27 30 33],6
8,True,436,[9 10],[7 4 3 2],Up,[9 10][7 4 3 2],[20 25 32 34 36 38 40],[1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 21 22 23 24 26 27 28 30 33],7
9,True,446,[10],[7 4 3 2],Up,[10][7 4 3 2],[20 29 32 34 35 36 38 40],[1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 21 22 23 24 25 26 27 28 30 33],8
10,True,456,[],[7 4 3 2 1],Down,[7 4 3 2 1][],[29 31 34 36 38 40 43],[1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 30 32 33 35],7
9,False,466,[],[7 5 4 3 2 1],Down,[7 5 4 3 2 1][],[29 31 34 36 38 40 43],[1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 30 32 33 35],7
8,False,476,[],[7 5 4 3 2 1],Down,[7 5 4 3 2 1][],[29 31 34 36 38 40 43],[1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 30 32 33 35],7
7,True,486,[],[6 5 4 3 2 1],Down,[6 5 4 3 2 1][],[31 36 38 40 43 44],[1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 32 33 34 35],6
6,True,496,[],[5 4 3 2 1],Down,[5 4 3 2 1][],[31 36 38 39 40 43 44 46],[1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 32 33 34 35],8
5,True,506,[7 10],[4 3 2 1],Down,[4 3 2 1][7 10],[31 36 38 40 43 44 45 46],[1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 32 33 34 35 39],8
4,True,516,[7 10],[3 2 1],Down,[3 2 1][7 10],[31 36 40 42 43 44 45 48],[1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 32 33 34 35 38 39 46],8
